Period,?깅줉Period,援щ텇,SO_ID,Customer name,Customer PO,Item name,OS name,Expected delivery date,AX Period,AX Project number,Sector,Business registration number,Industry code,Value_Start_qty,Value_Input_qty,Value_Output_qty,Value_Variance_qty,Value_Ending_qty,Value_Start_amount,Value_Input_amount,Value_Output_amount,Value_Variance_amount,Value_Ending_amount
Mar-26,Feb-26,援?궡,SOD-2026-0193,?쒖씠耳?댁퐯?몃·,JK2026021202,NA009,Noah NA,2026-03-15 0:00,Feb-26,82-15968.001,CPI,794-29-00426,78,4,0,4,0,0,1536000,0,1536000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0193,?쒖씠耳?댁퐯?몃·,JK2026021202,SA09X,SA,2026-03-15 0:00,Feb-26,82-15968.001,CPI,794-29-00426,78,20,0,20,0,0,5200000,0,5200000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0194,??쒗뀒??QK26HS0113-05,MA-02,MA,2026-04-06 0:00,Feb-26,82-15917.001,CPI,417-05-64153,85,1,0,0,0,1,2990000,0,0,0,2990000,
Mar-26,Feb-26,援?궡,SOD-2026-0195,?쒕씪IMS(二?,P260205-043,NOS50-M-FC FOR 2-WAY BALL VALVE (Fail close),NOD/NOS,2026-03-31 0:00,Feb-26,82-15938.001,CPI,606-81-57969,87,3,0,0,0,3,1410000,0,0,0,1410000
Mar-26,Feb-26,援?궡,SOD-2026-0196,(二????먯뒪.?몃뜑?ㅽ듃由?2026/02/13-3,SA05X-MA,SA,2026-03-15 0:00,Feb-26,82-15969.001,CPI,135-81-42305,79,6,0,6,0,0,2700000,0,2700000,0,0,
Mar-26,Feb-26,援?궡,SOD-2026-0197,(二????먯뒪.?몃뜑?ㅽ듃由?2026/02/19-2,SA05X-DA,SA,2026-03-01 0:00,Feb-26,82-16015.001,CPI,135-81-42305,79,4,0,4,0,0,1800000,0,1800000,0,0,
Mar-26,Feb-26,援?궡,SOD-2026-0199,?앹썝?곸궗,,SA09X-DF,SA,2026-03-30 0:00,Feb-26,82-16017.001,CPI,410-09-71312,85,1,0,1,0,0,1200000,0,1200000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0200,援우씠?붿?,L26023,SA-005,SA,2026-03-15 0:00,Feb-26,82-16018.001,OG,113-15-83752,21,10,0,10,0,0,1500000,0,1500000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0201,援우씠?붿?,L26024,NA-050,Noah NA,2026-03-18 0:00,Feb-26,82-16019.001,OG,113-15-83752,21,1,0,0,0,1,1277000,0,0,0,1277000
Mar-26,Feb-26,援?궡,SOD-2026-0202,(二??뺤썝諛몃툕,DM-26-024,MA-02,MA,2026-04-23 0:00,,,CPI,606-81-77266,83,4,0,0,0,4,14594000,0,0,0,14594000
